Mathematical Handbook of formulas and tables - including 2400 formulas and 60 tables,Murray R. Spiegel, fra 1968 på forlaget McGraw-Hill book company,,33409.jpg,30,4,"Schaum's Outline Series in Mathematics.
Hft. 21x28cm. 271sider, i fin stand uden notater. 523gram.", Matematik,,,,,,,,,,
Havens beplantning i farver,Eigil Kiær, fra 1975 på forlaget Politikens,ISBN: 87-567-1853-5,33411.jpg,20,4,Indb. 256sider med farveplancher. 354gram., Faglitteratur, Hus & have,,,,,,,,,
Himlens Fange,Carlos Ruiz Zafón,"1. udgave fra 2011 på forlaget Lindhardt og Ringhof, indb. 304 sider",ISBN: 9788711392409,33373.jpg,45,6,, Romaner, Skønlitteratur,,,,,,,,,
"Seksual Etik.  et afsnit af forfatterens værk, teologisk Etik",Helmut Thielicke, fra 1967 på forlaget Jespersen og Pio,,33907.jpg,20,4,Hft. 304sider. 343gram., Studiebøger, Teologi, Etik,,,,,,,,
Flere suveræne salater - og brillante buffeter,Sonja Bock og Tina Scheftelowitz," 1. udgave fra 2005 på Politikkens forlag indb. 137 sider, som ny",ISBN: 8760419121,33247.jpg,45,6,"Flere suveræne salater til frokoster, aftensmad, natmad, morgenmad - og flere brillante buffeter til alle årets fester, pigefrokoster, herremiddage, brunch, den asiatiske fest, den arabiske aften... Her opskrifter på masser af geønt, fisk, kød, bønner, ris, pasta, nudler, frugt, kager og brød", Faglitteratur, Kogebøger, Mad & gastronomi,,,,,,,,
Dagtyven og andre fortællinger om sære eksistenser,Ole Storm (red.), på forlaget Lademann,,33290.jpg,20,4,Danske forfattere beretter. Indb. 263sider. 381g., Fortællinger, Skønlitteratur,,,,,,,,,
Krig og Fred 1+2+3,Leo Tolstoj, på forlaget Lademann,,33672.jpg,50,5,3 indb. bøger med guldsnit og illustreret med tegninger af R. Christiansen. Som ny. 1753g., Skønlitteratur,,,,,,,,,,
Under sejl og med motor. - Fra vikingeskib til supertanker - i kølvandet af dansk skibsfarts historie,Erik Dannesboe, fra 1977 på forlaget Lademann,ISBN: 8715082504,33368.jpg,50,5,Indb. 30x22cm. 95sider. Illustreret af Per Bøgh, Søfart, Skibe,,,,,,,,,
Pasta - opskrifter på Pasta-retter - engelsk tekst,Diego Chiarini, fra 2002 på forlaget Agnesi,,33212.jpg,20,5,"Indb. 19x19cm. 60sider, illustreret. 301g.", Faglitteratur, Mad & gastronomi,,,,,,,,,
Børnene i Kragevig,Bodil Bredsdorff, fra 1996 på forlaget Høst og Søn,ISBN: 87-14-19433-3,33753.jpg,15,4,"Bodil Bredsdorff fik Kulturministeriets Børnebogspris 1995 for serien om Børnene i Kragevig. ""En ren, klart lysende perle i dansk børnelitteratur. "" Politiken. Indb. 113sider. 233gram.", Ungdom, Skønlitteratur,,,,,,,,,
Jacobsens Hornbækkur - hjemme hos Dem selv,Birthe og Søren Jacobsen, fra 1973 på Samlerens forlag,ISBN: 87-568-0247-1,33698.jpg,15,4,"Hardback, 48sider + skemaer, illustreret. Udvendig brugsspor. 212g.", Mad & gastronomi, Faglitteratur, Sundhed, Kogebøger,,,,,,,
Politikens FOTO/2 - det færdige billede,Tommy Frenning,8. udgave fra 1984 på forlaget Politikens,ISBN: 87-567-36592,34038.jpg,20,4,"Hardback, 255sider, illustreret", Faglitteratur, Hobby, Foto,,,,,,,,
Tegninger Af C.W. Eckersberg med bibliografisk oversigt og historisk beskrivelse,Kobberstiksamlingen," fra 1983 på forlaget Den kgl. kobberstiksamling, Statens Museum for Kunst",ISBN:  87-87273-36-5,33872.jpg,40,5,Hft. 20x27cm. 226sider med 144 plancher og mange illustrationer i katalogbeskrivelserne. 738g., Kunsthistorie, Kunst & kultur,,,,,,,,,
Den fuldendte Havemand - håndbog i havekultur,"Sir, Cecil Hawthorne", fra 1987 på forlaget Peter Asschenfeldt,ISBN: 87-7365-777-8,33219.jpg,20,4,"Paperback, 140sider, illustreret med humoristiske tegninger. 112g.", Faglitteratur, Hus & have,,,,,,,,,
Dictionnaire du Francais primordial - Tome I+II ~ Micro Robert,Alain Rey (red.), fra 1983,ISBN: 10 2-85036-015-5,33556.jpg,25,4,Hft. 1207sider. 809g., Studiebøger, Fransk, Sprog, Ordbøger & leksika,,,,,,,
Dictionary of modern Máori,P.M.Ryan, fra 1996,ISBN: 10 0-7900-0454-2,33796.jpg,25,5,Hft. 235 sider. 164g., Studiebøger, Ordbøger & leksika,,,,,,,,,
Kina efter Mao - En fotografisk beskrivelse,Mogens G. Stryhn, fra 1985,ISBN: 10 87-981023-3-8,34050.jpg,20,5,"Hft. 80sider, illustreret med fotos i farver. 254g.", Samfundsvidenskab, Folkeslag, Etnografi og Antropologi, Dokumentar,,,,,,,
dictionnaire de la philosophie,Didier Julia, fra 1984 på forlaget Larousse,ISBN: 10 2-03-720014-5,33280.jpg,30,6,Hft. 304 sider. 281g., Studiebøger, Filosofi, Ordbøger & leksika, Litteraturvidenskab,,,,,,,
Sydsjælland og Møn,Johan Hvidtfeldt (red), fra 1975 på forlaget Samvirkende danske turistforeninger,,33588.jpg,20,6,"Hft. 144 sider, illustret s-h. 151gram.", Lokalhistorie,,,,,,,,,,
"Matrikelvæsen, håndbog - Matrikeldirektoratets opgaver og organisation",Redaktion: Svend Balslev m.fl., fra 1986 på forlaget Landbrugsministeriet,,33956.jpg,25,6,Hft. 153sider. 307gram, Studiebøger, Samfund & historie,,,,,,,,,
Min Tid - Erindringer - strejftog i før- og eftertidens Danmark,Bent A. koch, fra 2003 på Syddansk Universitetsforlag. Hft. 242sider. 496g.,ISBN: 87-7838-881-3,33525.jpg,75,6,"MIN tid er modstandsmanden, chefredaktøren og debattøren Bent. A. Kochs personlige strejftog i før- og efterkrigstidens Danmark. Undervejs i skildringen stiller han skarpt på begivenheder og personer, han mødte på sin vej gennem modstandsbevægelsen, dansk presse og utallige enkeltsager.", Erindringer, Dokumentar,,,,,,,,,
Fodboldens A-B-øhh - fortalelser og fortællinger fra aktørerne om den runde tingest,Bo Klinge,1. udgave fra 2004 på forlaget Haase,ISBN: 8755911986,33806.jpg,20,4,Hft. 190sider lille bog med stor humor. 130gram, Skønlitteratur, Humor,,,,,,,,,
Sigge og sutten,"Nele Moost og Michael Schober, på dansk ved Susanne Vebel", på forlaget Thorup,ISBN: 87-788-057-8,34055.jpg,15,5,"'Billedbog. Hele Sigges familie synes, det er på tide, han holder op med at bruge sut. Men hvad med de andre i familien? Kan de også holde op med det, de ikke må?' Hardback, 24x26cm. illustreret med tegninger. God stand. 337g.", Skønlitteratur, Billedbøger, Børnebøger,,,,,,,,
30 Mester Fortællinger II,Udvalgt af Jens Kruuse og Ole Storm, fra 1963 på forlaget Det Schønbergske,,33389.jpg,20,4,"Fortællinger af 30 internationale forfattere. Paperback, 346sider. 235g.", Skønlitteratur, Noveller, Fortællinger,,,,,,,,
For Tromme og Kastagnet - Utrykte Ungdomsdigte,Nis Petersen, fra 1951 på forlaget Gyldendal,,33103.jpg,20,5,Hft.100sider. Fin stand.192gram., Skønlitteratur, Digte,,,,,,,,,
På Guds Veje,Bjørnstjerne Bjørnson, fra 1927 på Gyldendal Norsk forlag,,33844.jpg,25,4,Norsk udgave. Indb. 243sider. Fin stand. 387g., Skønlitteratur,,,,,,,,,,
Nu opgiver han,Martin A. Hansen, fra 1969 på forlaget Gyldendal,,33978.jpg,30,6,"Indb. 263sider, i kassette. Som ny. 499g.", Skønlitteratur,,,,,,,,,,
Richard Løvehjerte,Gore Vidal, fra 1951 på forlaget Danske Bogsamleres klub,,33345.jpg,20,4,Indb. 239sider. 429g., Skønlitteratur,,,,,,,,,,
Natten er vor egen - viser og ballader,Aage Berntsen, fra 1939 på forlaget Povl Branner,,33876.jpg,20,4,"Hft. 13,5x18cm. 73sider. 125gram.", Skønlitteratur, Digte,,,,,,,,,
Genboerne - sangspil,C. Hostrup, fra 1951 på forlaget Nordisk,,33228.jpg,20,4,Hft. 93sider. Brugsspor på omslag. 142g., Skønlitteratur, Skuespil,,,,,,,,,
Nik Nik Nikolaj- farce i 2 akter,Erik Knudsen, fra 1966 på forlaget Gyldendal,,33800.jpg,20,4,Hft. 92sider. 181gram., Skønlitteratur, Skuespil,,,,,,,,,
Svalerejsen,"Vivian French, ill. af Karin Littlewood", på forlaget Thorup,ISBN: 87-7889-091-8,33178.jpg,20,6,"Svalerne har fløjet over 9000km fra Sydafrika til deres mål mod nord og reden som de benytter hver sommer. Vi følger deres liv og unger sommeren igennem - til de flyver fra det kolde nord og vender tilbage til det varme Sydafrika - og den lange farefulde rejse. Hardback, 29,5x22,5cm. Som ny. 412g.", Skønlitteratur, Børnebøger,,,,,,,,,
Miraklernes Planet,Bruce Brown og Lane Morgan, fra 1991 på forlaget Wøldike,ISBN: 87-7233-761-3,33462.jpg,60,5,"Om Jordens dannelse og geologiske udvikling. Jordens vilkår for plante- og dyreliv samt menneskets påvirkning af kloden. Mange farvefotografier. Dansk tekst. Redaktion: Erik Johannesen. 
Indb. 25x32cm. 258sider, illustreret med flotte farvebilleder. Som ny. 1880g.", Geologi,,,,,,,,,,
BADMINTON,Keld Vilstrup, fra 1980,ISBN: 87-11-03991-4,34065.jpg,20,4,"Hft. 96 sider, illustreret. 199gram.", Faglitteratur, Sport & fritid,,,,,,,,,
Med danske forfattere i Mellemitalien,Poul Carit Andersen (red), på forlaget Selskabet bogvennerne,ISBN: 87-424-2258-2,33435.jpg,35,6,"Kendte danske forfattere fortæller om deres møde med Italiens kultur og mennesker, med dets natur og byer.  Hft. 18,5x27cm. U/å 141 sider, illustreret med tegninger af Helge Kühn- Nielsen og Ebbe Sadolin. Som ny. 467gram.", Erindringer, Kunst & kultur,,,,,,,,,
ALLE DE ANDRE..... ~ om pubertetsbørns-  og deres forældres - problemer i det daglige samvær,Michael Elvekjær og Lene Rem, fra 1979,ISBN: 87-19-75461-2,33468.jpg,20,4,Hft. 110 sider. 191gram, Studiebøger, Børn & forældre,,,,,,,,,
Alt om haven ~ spørgsmål og svar,Stefan Buczacki ~ på dansk ved cand.hort. Åge Nicolaisen, fra 1988,ISBN: 87-15-05276-1,33936.jpg,20,4,Indb. 128 sider,. 804gram, Faglitteratur, Hus & have,,,,,,,,
Antologi om Mændenes Hjem 1990-2010,Robert Olsen (red.), fra 2010,ISBN: 87-92467-94-6,33632.jpg,20,6,"Bogen indeholder uddrag af socialpolitiske og faglige artikler om Mændenes Hjem og det sociale arbejde på Vesterbro. 
Hft. 151 sider. 293gram.", Studiebøger, Samfund & historie, Antologier,,,,,,,,
ARBEJDSLIVSKVALITET ~ at blive værdifuld for sig selv og sin omverden.,Søren Ventegodt, fra 1996 på Forskningscentrets forlag,ISBN: 87-90190-10-6,33724.jpg,25,5,Hft. 108 sider. 168gram., Studiebøger, Selvudvikling, Psykologi,,,,,,,,
Hambeck - En havneby i Nordeuropa - Fra stenalderboplads til storby,Xavier Hernández & Jordi Ballonga, fra 1992 på forlaget Høst & Søn,ISBN: 87-14-29136-3,33856.jpg,35,5,"En historisk beretning om udviklingen af storbyerne i Nordeuropa har foregået. 
Indb. 24x30,5cm. 61sider, illustreret med flotte detailerede tegninger. 566gram.", Studiebøger, Historie:Europa,,,,,,,,,
Hutterus Redivivus - oder Dogmatik der Evangelisch-Lutherischen Kirche,Karl Hase," fra 1858 på forlaget Breitkopf und Härtel, Leipzig",,33963.jpg,40,3,"Ein Dogmatisches repertorium für Studirende.
Antikvarisk bog. Indb. m. læderryg. 380s. Alm. skrift. 718g.", Studiebøger, Teologi, Kirkehistorie, Religion,,,,,,,
Kirkehistoriske smaastykker,A. Chr. Bang, fra 1890 på forlaget Alb. Cammermeyer,,34000.jpg,30,4,"""De smaastykker, som denne samling indeholder, henhører alle til de dele af den kirkehistoriske videnskab, som jeg særlig har gjort til gjenstand for mine studier, nemlig oldkirken, reformationstiden og vort lands kirkelige udvikling.""
Antikvarisk bog med alm.skrift. Indb. 348sider. 412g.", Kirkehistorie,,,,,,,,,,
Den Danske Kirkes Historie i årene 1801-1817,L. Koch, fra 1880 på forlaget G.E.C.Gad,,34069.jpg,30,3,Antikvarisk bog med alm.skrift. Indb. 302sider. 341g., Studiebøger, Teologi, Kirkehistorie,,,,,,,,
Den Danske Kirkes Historie 1817-1854 og i det 19.årh.,L. Koch, fra 1883 på forlaget G.E.C.Gad,,33346.jpg,30,3,Antikvarisk bog med alm.skrift. Indb. 287sider. 364g., Studiebøger, Teologi, Kirkehistorie,,,,,,,,
Det Evangeliske Kirkelivs Nutid og Fremtid,Henrik Nikolai Clausen, fra 1859 på forlaget G.E.C.Gad,,33773.jpg,30,3,"Antikvarisk bog med alm skrift. Tolv foredrag af forfatteren.
Indb. m. læderryg med udvendig slidtage, ellers god stand. 332sider. 547g.", Studiebøger, Teologi, Religion, Kirkehistorie,,,,,,,
Fortolkning af de Synoptiske Evangelier - 2 bind,H. N. Clausen, fra 1850 på C.A.Reitzels forlag,,33864.jpg,30,1,Antikvariske bøger. Indb. 2bd.  827s. alm.skrift. notater og markeringer. Slidt i ryg., Studiebøger, Teologi, Religion,,,,,,,,
Det tynde øl - om at være kone i Saudi-Arabien,Meghan D. Jakobsen,1. udgave fra 2001 på forlaget Centrum,ISBN: 87-604-0923-1,33818.jpg,30,6,"En ung dansk journalist fortæller om sine år i Saudi Arabien, vor hun får brug for hele følelsesregistret i sit møde med denne fremmedartede verden. Indb. 269sider. 317gram.", Studiebøger, Samfundsvidenskab, Mellemøsten, Etnografi og Antropologi, Dokumentar,,,,,,
ANDRE TIDER,Klaus Rifbjerg, fra 1997,ISBN: 87-00-30646-11,33237.jpg,20,6,Hft 154 sider. 260gram., Skønlitteratur,,,,,,,,,,
Arkitekten Martin Nyrop - om Gamle Bygningers Bevaring,Lise Funder, fra 1979 på forlaget Foreningen til Gamle Bygningers Bevaring,ISBN: 87-87546-05-1,34001.jpg,25,4,Indb. 102 sider. 416gram., Studiebøger, Historie:Kultur, Biografier, Arkitektur,,,,,,,
ATKINSONS BIOGRAF ~ en vandrehistorie,Ib Michael, fra 1998,ISBN: 87-00-35766-9,33892.jpg,25,5,Hft. 188 sider. 317gram., Skønlitteratur,,,,,,,,,,
Hvem Hvad Hvor 1952,Helge Larsen (red.), fra 1952 på forlaget Politiken,,33823.jpg,20,3,Indb. 447sider. Udv.brugsspor. 403g., Presse og Medier,,,,,,,,,,
Afveje,James Siegel,2. udgave fra 2006 på forlaget Cicero,ISBN: 87-7714-794-4,33968.jpg,20,6,"En hæsblæsende thriller, hvor intet er, hvad det giver sig ud for at være. Sindsoprivende spændende simpelthen, så sluk mobilen eller træk stikket ud. Hft. 279sider. 429gram.", Skønlitteratur, Romaner, Krimi/spænding,,,,,,,,
Sukkulenter - planter til dekoration i stuen og i haven,J. Nilaus Jensen, fra 1963 på forlaget J. fr. Clausen,,33104.jpg,15,5,"Hft. 67sider, illustreret. God stand.", Faglitteratur, Hus & have, Botanik,,,,,,,,
Guld-Kristne. studier over Apostlenes Gerninger,A. Fibiger, fra 1914 på forlaget Lohse,,33574.jpg,25,4,Antikvarisk bog i god stand. Indb. 323sider. 688gram., Studiebøger, Religion,,,,,,,,,
Philosophen lexikon. von einem Autorenkollektiv herausgegeben von Erhard Lange und Dietrich Alexander,"Eva Dorst, Gisela Hidde, Jochen Grund", fra 1982 på forlaget Dietz Verlag Berlin,,33520.jpg,45,4,Indb. 973sider. 630gram, Leksikon, Filosofi,,,,,,,,,
Den yderste dag. - Græs. - Ikke uden Frugt. - 3 Fortællinger,Johannes Jørgensen, fra 1912 på forlaget Nordisk,,34040.jpg,20,5,Antikvarisk bog i fin stand. Tre fortællinger: Den Yderste Dag. - Græs. - Ikke uden Frugt. Indb. 188sider. 215gram., Skønlitteratur, Fortællinger,,,,,,,,,
Sendebrev til Kristne Venner angaaende den hellige skrift,V.J.Hoff, fra 1883 på Karl Schønbergs forlag,,33813.jpg,15,5,Antikvarisk bog med alm.skrift. En lille sjov gammel bog om den kristne lære. Med forfatterens signatur. Indb. 38sider. 69gram., Studiebøger, Religion,,,,,,,,,
Hvorfor gør dyrene sådan? - Om Fugle,Poul Thomsen,2. udgave fra 1984 på forlaget Lindhardt og Ringhof,ISBN: 87-7560-683-6,33254.jpg,15,5,"Sprudler af fortælleglæde, fra første til sidste side, og den bringer god besked om sit emne."" Danske fugle . Paperback, 125sider, illustreret med tegninger. 107gram.", Natur, Fugle, Zoologi, Biologi,,,,,,,
Jeg vil leve sundt - Menneskets fysiske liv,C. Hartmann, fra 1914 på J. P. Madsens Linds forlag,,33870.jpg,20,4,Menneskets fysiske Liv. En bog om hvordan man opfattede det at leve sundt for hundrede år siden. Indb. 224sider. 322g., Krop & sind, Sundhed,,,,,,,,,
Hyrden,Frederick Forsyth, fra 1976 på forlaget Lademann,,33700.jpg,15,5,Hft. 63sider. 94g., Skønlitteratur,,,,,,,,,,
De første trin i Skak,Jens Enevoldsen, fra 1965 på Clausens forlag,,33564.jpg,10,5,Hft. 23sider. 52g., Faglitteratur, Hobby,,,,,,,,,
"Av, min Guldtand",Leif Panduro, fra 1965 på forlaget Hasselbalch,,33707.jpg,15,4,Hft. 157sider. 118g., Skønlitteratur,,,,,,,,,,
Børnene og os - hvordan kan vi påvirke og udvikle hinanden?,Bente Sidenius,1. udgave fra 1982 på forlaget Hans Reizel,ISBN: 87-412-3690-4,33350.jpg,20,5,"Hft. 148 sider, 182 gram.", Studiebøger, Pædagogik, Psykologi, Børn & forældre,,,,,,,
"Eventyr fra Østgrønland - seks historier, myter og sagn, fortalt for børn",Kirsten Bang, fra 1981 på forlaget Delta,ISBN: 9874499818,33658.jpg,20,5,"Indb. 18x25cm. 52sider, illustreret med tegninger af Ilona Ösz. Udgået biblioteksbog i fin stand. 312gram", Skønlitteratur, Grønland, Fortællinger, Børnebøger,,,,,,,
REMBRANDTS Handzeichnungen - Staatliches Kupferstich-Kabinett und Sammlung Friedrich August II. zu DRESDEN,"Kurt Freise, Karl Lilienfeld, Heinrich Wichmann (herausgeber)", fra 1925 på forlaget Hermann Freise,,33557.jpg,350,4, 23x29cm. 130 abbildungen, Kunsthistorie,,,,,,,,,,
Sproget ... sprogslægtskab . sprogfamilier . sprogtyper . sprogbrug . sprogbygning . sprogforandring,Louis Hjelmslev, fra 1963 på forlaget Berlingske,,33297.jpg,20,4,Sprogvidenskab. Hft. 136sider. 125g., Studiebøger, Kommunikation, Sprog,,,,,,,,
Året rundt i haven . huskekalender og håndbog for haveejere,Eigil Andreasen (red.), fra 1968 på forlaget Vi med Hus og Have,,33491.jpg,15,4,"Vi med Hus og Have's idébøger. Indb. 124sider, illustreret. 285g.", Faglitteratur, Hus & have,,,,,,,,,
Gør det selv ... men gør det rigtigt .. opslags håndbog for husejere,Inga og Georg Westin, fra 1968 på forlaget Vi med Hus og Have,,33875.jpg,15,4,"Vi med Hus og Have's idébøger. Indb. 144sider, illustreret. 307g.", Faglitteratur, Hus & have,,,,,,,,,
Hostrups Komedier 2. bind ..6 skuespil,Hostrup, fra 1886 på Gyldendalske boghandels forlag,,33705.jpg,20,4,Antikvarisk bog med gotisk skrift. Indb. 379sider. 388g., Skønlitteratur, Skuespil,,,,,,,,,
"S = Struensee. Et indblik i det letsindige, absurde og dramatiske hofliv, som det levedes i København, Hischholm og Holsten omkring 1770.",Frank jæger, fra 1973 på forlaget Mistral,ISBN: 87-852-0205-3,33215.jpg,20,4,"Indb. 63 sider, brugt biblioteks bog i fin stand. 217gram.", Fortællinger, Samfund & historie,,,,,,,,,
Det bedste ved at have et barnebarn,Ulla Brita Gregersen (red.)," fra 1995 på forlaget Holkenfeldt, hft. 136 sider, illustreret",ISBN: 8789906705,33971.jpg,30,5,, Børn & forældre, Erindringer, Studiebøger,,,,,,,,
Skrift-atlas - 50 alfabeter,Erik Ellegaard Frederiksen (red), fra 1990 på Chr. Ejlers forlag og Nyt Dansk Litteraturselskab,ISBN: 87-7241-582-7,33283.jpg,75,6,"Indb. 21,5x26,5cm. 108sider. Som ny. 587g.", Studiebøger, Kartografi, Atlas, Faglitteratur, Bogvæsen,,,,,,
Indretning og MODERNE DESIGN,Francisco Asensio Cerver,1. udgave fra 2000 på forlaget Könemann,ISBN: 3-8290-5448-3,33754.jpg,30,5,Opslagsværk over moderne indendørsdesign. Hft. 14x19cm. 1000sider med 2500farvefotos. 1368gram, Møbler, Bolig, Arkitektur, Design,,,,,,,
Politikens bog om Drivhuset,Helge Petersen,6. udgave fra 1999 på forlaget Politiken i samarbejde med Det Danske Haveselskab,ISBN: 87-567-5918-5,33695.jpg,50,5,"En håndbog med alt om drivhusets opbygning og indretning, med grundig gennemgang af de forskellige plantekulturer, samt udførlig beskrivelse af dyrkning og plantepleje. Bogen henvender sig til alle drivhusejere - såvel begyndere som mere erfarne. Indb. 158sider illustreret. Fin stand.", Faglitteratur, Hus & have,,,,,,,,,
Klap i og hør efter! - Fulton-skipperen fortæller,Mogens Frohn Nielsen,"1. udgave fra 1983 på Forlaget Danmark, hft127 sider, illustreret med fotos",,33211.jpg,25,4,"Om opdragelse af drenge - til søs med sejlskibet ""Fulton""", Pædagogik, Studiebøger, Erindringer,,,,,,,,
40 fortællinger af fædrelandets historie,A. D. Jørgensen, fra 1981 på forlaget Lademann,ISBN: 8741445090,33754.jpg,25,5,"Indb. 374sider, illustreret. 921gram", Studiebøger, Fortællinger, Dokumentar, Historie:Danmark,,,,,,,
Bjergenes erobring,Eric Shipton, fra 1967 på forlaget Sesam,,33217.jpg,20,5,"Indb. 153sider, illustreret. 627gram", Studiebøger, Opdagelsesrejser - ekspeditioner,,,,,,,,,
Hvem Hvad Hvor 1949,Helge Larsen m.fl. (red.), fra 1949 på forlaget Politiken,,34059.jpg,20,4,Indb. 468sider. 447gram., Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1960,Helge Larsen m.fl. (red.), fra 1960 på forlaget Politiken,,33191.jpg,20,4,Indb. 511sider. 438gram., Dokumentar,,,,,,,,,,
Hvem Hvad Hvor 1961,Helge Larsen m.fl. (red.), fra 1961 på forlaget Politiken,,34062.jpg,20,4,Indb. 511sider. 421gram., Dokumentar,,,,,,,,,,
Hvem Hvad Hvor 1962,Helge Larsen m.fl. (red.), fra 1962 på forlaget Politiken,,33540.jpg,20,4,Indb. 511sider. 400gram., Dokumentar,,,,,,,,,,
Hvem Hvad Hvor 1967,Helge Larsen m.fl. (red.), fra 1967 på forlaget Politiken,,33204.jpg,20,4,Indb. 511sidet. 469gram., Dokumentar,,,,,,,,,,
Hvem Hvad Hvor 1972,Hjalmar Petersen m.fl. (red.), fra 1972 på forlaget Politiken,ISBN: 87 567 1491 2,33364.jpg,25,4,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1973,Hjalmar Petersen m.fl. (red.), fra 1973 på forlaget Politiken,ISBN: 87 567 1619 2,33409.jpg,25,4,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1974,Hjalmar Petersen m.fl. (red.), fra 1974 på forlaget Politiken,ISBN: 87 567 1735 0,33843.jpg,25,5,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1976,Hjalmar Petersen m.fl. (red.), fra 1976 på forlaget Politiken,ISBN: 87 567 2255 9,33705.jpg,25,5,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1978,Hjalmar Petersen m.fl. (red.), fra 1978 på forlaget Politiken,ISBN: 8756727135,33455.jpg,25,4,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1979,Hjalmar Petersen m.fl. (red.), fra 1979 på forlaget Politiken,ISBN: 87 567 2981 2,34040.jpg,25,4,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1981,Hjalmar Petersen m.fl. (red.), fra 1981 på forlaget Politiken,ISBN: 87 567 3332 1,33614.jpg,25,5,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1982,Hjalmar Petersen m.fl. (red.), fra 1982 på forlaget Politiken,ISBN: 87 567 3481 1,33579.jpg,25,5,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1983,Lars Hedegaard Jensen m.fl. (red.), fra 1983 på forlaget Politiken,ISBN: 87 567 3634 7,33321.jpg,25,6,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1985,Poul Erik Munk Nielsen m.fl. (red.), fra 1985 på forlaget Politiken,ISBN: 87 567 3964 8,33244.jpg,25,5,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1988,Henrik Borberg m.fl. (red.), fra 1988 på forlaget Politiken,ISBN: 87-567-4275-4,33578.jpg,25,6,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1989,Henrik Borberg m.fl. (red.), fra 1989 på forlaget Politiken,ISBN: 87-567-4431-5,33729.jpg,25,6,, Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1990,Henrik Borberg m.fl. (red.), fra 1990 på forlaget Politiken,ISBN: 87-567-4547-8,33583.jpg,25,6,, Presse og Medier,,,,,,,,,,
"General, Sjakbajs eller skaber? - lederstil og livsstil",Bruno Christensen,1. udgave fra 1987 på forlaget Børsens,ISBN: 87-7553-196-8,33771.jpg,25,6,"Indb. 158 sider, studiebog uden markeringer. 410gram", Studiebøger, Ledelse & Management,,,,,,,,,
Mit liv  - Charles Chaplin's erindringer,Charls Chaplin,"1. udgave fra 1968 på forlaget Gyldendals. indb.443 sider, illustreret",,33739.jpg,25,5,, Biografier, Erindringer, Studiebøger,,,,,,,,
Med Søren og Anne til Japan,Gunnar Nyborg-Jensen, fra 1964 på forlaget Branner og Korch,,33725.jpg,25,4,"Indb. 132sider, illustreret. Pæn stand, 409g.", Ungdom, Samfundsvidenskab, Historie:Kultur,,,,,,,,
Mystikkens verden - Gæster fra rummet,Jørgen Pedersen (red), fra 1990 på forlaget Lademann,ISBN: 87-15-08569-4,33445.jpg,20,5,"Hardback, 24x28cm. 158sider, illustreret. 820g.", Spiritualitet, Okkultisme, Mystik/eventyr,,,,,,,,
Mystikkens verden - Ånd over materie,Jørgen Pedersen (red), fra 1991 på forlaget Lademann,ISBN: 87-15-08842-1,33751.jpg,20,5,"Hardback, 24x28cm. 143sider, illustreret. 762g.", Spiritualitet, Okkultisme, Mystik/eventyr,,,,,,,,
Mit Skatkammer - Store bedrifter (8),Annalise Børresen (redaktion), fra 1970 på forlaget Fremad,ISBN: 87-557-0129-9,33547.jpg,30,4,"Indb. 159sider, illustreret med tegninger. God stand. 586g.", Ungdom, Børnebøger,,,,,,,,,
Københavner-Erindringer 1920-50,Helle Linde (red), fra 1996 på forlaget Københavns Kommune,ISBN: 8789457099,33764.jpg,40,6,"Indb. 231sider, illustreret. 585gram.", Samfund & historie, Lokalhistorie, Dokumentar, Byer,,,,,,,
Grundtvigs Salmedigtning - Dens Historie og Indhold I-II-III,Uffe Hansen, på Det Danske Forlag,,33123.jpg,300,5,"Hft. I-1937, 350sider. Hft. II-1951, 349sider. Hft. III-1966, 353sider. Fin stand.", Studiebøger, Digte,,,,,,,,,
Danmarks økonomi siden 1980 - en oversigt,Per Ulstrup Johansen,5. udgave fra 2007 på Handelshøjskolens forlag,ISBN: 978-87-629-0321-0,33108.jpg,30,5,"En kortfattet beskrivelse af de overordnede linjer i den økonomiske udvikling i Danmark i de seneste 30 år med hovedvægten på konjunkturbevægelserne og den økonomiske politik. Der gøres desuden rede for væsentlige institutionelle ændringer og demografiske forhold. Hft. 160 sider, 273 gram.", Studiebøger, Samfundsvidenskab, Økonomi,,,,,,,,
En dag med musenes BRANDKORPS,Ulf Nilsson og Eva Eriksson," fra 1996 på forlaget Gyldendal. Hardback, 20x27cm. 32sider, illustreret. Fin stand",ISBN: 87-00-58812-1,34037.jpg,20,5,, Børnebøger,,,,,,,,,,
